time,open,high,low,close,5,6,result
2021-11-11T15:15:00+0530,3485.15,3506.4,3484.5,3505,174844,0,
2021-11-12T09:15:00+0530,3506,3514,3495.7,3497.6,308575,0,
2021-11-12T10:15:00+0530,3497.5,3501.35,3486,3488.3,216090,0,
2021-11-12T11:15:00+0530,3488.3,3496.7,3488.3,3495.8,198621,0,
2021-11-12T12:15:00+0530,3495.8,3509.95,3495,3508.05,189472,0,
2021-11-12T13:15:00+0530,3508.8,3527.5,3505,3525.7,341900,0,
2021-11-12T14:15:00+0530,3525.7,3534,3520,3526.3,317613,0,
2021-11-12T15:15:00+0530,3526,3527,3519,3524,165178,0,
2021-11-15T09:15:00+0530,3528,3561.95,3528,3560,461148,0,
2021-11-15T10:15:00+0530,3559.95,3564.65,3552.3,3555.75,216387,0,
2021-11-15T11:15:00+0530,3555.75,3555.9,3536.65,3550.45,194893,0,
2021-11-15T12:15:00+0530,3550.45,3560,3544.1,3552,152445,0,
2021-11-15T13:15:00+0530,3552,3569.5,3550,3568.9,346059,0,
2021-11-15T14:15:00+0530,3568.9,3569.6,3550.05,3551.65,317067,0,
2021-11-15T15:15:00+0530,3552.9,3555.45,3545.25,3550,112859,0,
